commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgxPrZm45DteZ4ujMjx4AaABAg,"“He put his hands above mine, time to only use my fingers and poke his eyes out” the dirty bastard would get whooped if they gloved the rest of the fingers",1 month ago,0,@Romune0,,1TxPlapI_AM,1,,
UgxYD-7jXPO1yx-JgFh4AaABAg,"Yeah, that's intimidating, but I would've said ""That's kinda gay""",2 years ago,0,@Your_Favorite_Honky,,rFpVdm8Jcdc,1,,
UgzqF2a5rqDkSFalHix4AaABAg,"Aspinall will not win agains Jones, trust me!",7 months ago,0,@JordyFx,,fb8Dc5bEplc,1,,
UggXkaSx79H4vHgCoAEC,BLESS HIM !!!,8 years ago,0,@antonysmith1981,,bmBjcDdfneM,1,,
UgwGEA04ANVP_jKoMAR4AaABAg,GOAT 🐐 OF MMA,1 year ago,0,@godfromthecreator,,iMrsQMfyIzs,2,,
Ugw9-viPm4-GQEaMeLF4AaABAg,"Honestly I totally get his perspective. I don't think he is making that decision based on losing his ""heavy weight"" title. He's already said he would rather vacate the title and move back down to his normal weight class",5 months ago,0,@mranonymous1966,,ViBSUxVp1Q0,1,,
UgxENh0mytEu4lSbBcZ4AaABAg,"Dana: we ll make an exception for you jones, you can juice up without no one knowing. Deal?
Jones: pictogram? Pinch of salt? Owwww yeaah",7 months ago,0,@KamoMoka-ve8hg,,ViBSUxVp1Q0,1,,
UgxY5lTfzhQf5lrcaat4AaABAg,Prochazka is coming...,4 years ago,0,@grrerr518,,ebeQBYvWKsw,2,,
UgyJfkfDeizEHWCS7at4AaABAg,#Quackquackquack 🦆,4 months ago,0,@romansemlitsch5348,,ViBSUxVp1Q0,2,,
Ugy21zGFGhS5HF-2yE54AaABAg,Clean??? I thought his whole issue is he can't stay clean??? 😂,10 days ago,0,@RdyHdz,,SoZ_pQ5I4tI,1,,
Ugy90mkUbcKAtEQj--54AaABAg,He has 0 chance against Fury & wilder they will both put him to sleep,1 year ago,0,@WilbertRamos777,,iMrsQMfyIzs,1,,
UgyXPU02Q_HgI72BbT94AaABAg,"This guys motivation sucks. ""You got this. Cmon you got this. Breathe. You got this""

Literally the worst coach/cornerman I've seen in a long time.",1 year ago,0,@TripleB-nb8en,,MKpVlOr6h9A,2,,
Ugw31_La56mMLhwXIWB4AaABAg,Легендарный Последний Император!!!,1 year ago,0,@ДмитрийНазин-л2й,,YY7R82on7bw,1,,
UgyMVwk-0HlwuxKc5EB4AaABAg,"All the shit talking about jon, first achieve what jon did. No  only jon and khabib made history with no loss.",5 hours ago,0,@ShoaibChaudhary-wq2vp,,zY4ezBg9FrE,1,,
UgwhE_F0yC5tA-y_t-R4AaABAg,"If that sound was real, thats Crazy. Probably broke his Cheek or Orbital. It probably cost him the fight.",1 year ago,0,@AdamKing-k5z,,hTOvkPBG3dU,1,,
Ugxt56DOpRfMybRnYRV4AaABAg,A blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft. I’ll never pay $80 to see trump and his clown posse shown between every fight 😂,12 hours ago,0,@Tnbears,,JaM3nhE3bvo,1,,
UgxsyKsP9x2wIfPXRlF4AaABAg,honestly prizepicks been easy af cash ngl,3 days ago,0,@Ind559,,vUj33V3mRcc,1,,
Ugy_JZjbADKfN_d4_t14AaABAg,Why are we translating English to English??,19 hours ago,0,@yarravillin,,6LPtaFojuXQ,1,,
UgxnTMDDCKOvo5wAxot4AaABAg,WTactuallyF,8 hours ago,0,@TONY-tm1,,Lj_EUUvn1iU,2,,
UgwGQL5HGJxf5DuugjB4AaABAg,"Lucky the other guy isn’t the same kind of asshole he is, that teabag would have ended up around his ears, he’d of had new earrings that looked like walnuts! LOL 😂",1 year ago (edited),0,@Musclecar1972,,rIp-IQy4Lic,1,,
Ugzs0A35F_q6PnaljhF4AaABAg,Jon is looking to rematch his wife at the hotel. Last time they went to decision and the cops ruled it a no contest.,11 days ago,0,@HithereiamL,,SoZ_pQ5I4tI,976,,
UgzwUUp1HK0qYGlEcKB4AaABAg,Ank will beat tom. Watch.,1 month ago,0,@dervyherrera1974,,_nlIJMwzClI,1,,
Ugxi0lg4hRC6Dd7YBjB4AaABAg,Great idea in the first place to bring Nate to Dagestan 🎉😂,3 weeks ago,0,@xFINISHxHIMx,,FAbMrXARnpA,1,,
UgzIrV8O6-1hJIchPRl4AaABAg,😂😂😂 greatest cheat you mean.  Khabib is the greatest,2 years ago,0,@muzzykolip,,Tw10pTC1apc,1,,
UgwIECxAjmR-pqMVItN4AaABAg,Jon was absolutely thinking bad thoughts on that 3rd interruption,2 years ago,0,@JetMan35,,2uaOheYQCL4,206,,
UgwoPP6a8qtJvdWWort4AaABAg,Nick very lucky there ngl,2 years ago,0,@peterpiper3808,,2uaOheYQCL4,1,,
Ugz6peOcxmok2nqWbS54AaABAg,"In Boxing, that’s what you call an E-Mail mickey mouse champion 🥊",1 day ago,0,@DontaesVictimizationNation,,qJnrYMGxh0k,6,,
UgyNN_5YiMpkKXdKhCp4AaABAg,Hey can someone appreciate me,9 months ago,0,@LewisBland-p9z,,3renPz-eyAg,1,,
UgxmOdXjM92Hxc287Eh4AaABAg,"Most people do not see what an utter psychopathic scumbag Jon Jones is. The man has zero shame, zero guilt, zero principles, zero morals.",2 weeks ago,0,@AllAhabNoMoby,,R96hHBTLvRA,1,,
Ugz7c6g1HFQRL665uIJ4AaABAg,"12, million Jones left on the table because he don't want to get knocked out. He will retire for ZERO money...🦆🦆",2 weeks ago,0,@Wally2Feathers,,XCEv1L1-j3o,1,,
UgyzA8YllMM_VNIXYXR4AaABAg,Another easy win for Chael,2 years ago,0,@thomasowen5785,,BV3FcAecXL0,1,,
Ugw9WnCYnw9vHycNM054AaABAg,Jon Jones was losing. He viciously knees Andre in the nuts and punches/elbows him several times when the fight is obviously stopped. Jones is just a little kid in a man's body. So scared to lose he'll disrespect the sport and his opponent because he's hungry for a win. Pathetic tiny brain mind.,5 years ago,0,@derkavondangerkill7628,,ONurh1UOQHg,1,,
UgyPlzWCqc96bWX82EV4AaABAg,Brady didn’t let patty mahomees,10 days ago,0,@Golfingwithdaddy,,SoZ_pQ5I4tI,1,,
UgzBkbDusydQdGDezvt4AaABAg,DC still scarred by his loss to Jon Jones 🤣,2 weeks ago,0,@JFuego76,,oPZs91EzXUY,1,,
UgwacXpFJPGT712jKjV4AaABAg,It's hilarious listening to your interview JENNIFER**  DUCKSTER DUCK MASTER **  Jones ‼️‼️‼️‼️‼️ Listen to JENNIFER * THE DUCK  *  everyone  DOES EVERYONE HEAR HIM LOUD AND CLEAR TRYING TO AVOID THE GUY HE DEF KNOWS IS GOING TO SMOKE HIS A$$‼️‼️‼️‼️‼️‼️‼️🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,3 weeks ago,0,@user-ph8fx5pi7w,,ViBSUxVp1Q0,2,,
Ugz9a8nnnynPO6KMK1x4AaABAg,Jon's gonna be remembered for all the wrong things,2 weeks ago,0,@VelarVista,,ifzwB1_S83E,2,,
Ugwul5iARDF3QbwL0PZ4AaABAg,"What a Bellend,  time for a new Dana",2 weeks ago,0,@rosscobosco,,Yi39Rg-FAvA,1,,
UgwOR92o_lmdFG7UWnd4AaABAg,Jon do you think I'm just gonna sit here and let you get interviewed by me??,7 months ago,0,@berzerk6950,,ShDu3fXRsRs,1,,
UgzES3dFgg0elMIo0554AaABAg,Meanwhile Jon is doing hikes in NM and thinking about other shit.,10 months ago,0,@mcsuchnsuch,,mFI_H6rsOzU,19,,
UgzAaKmBcNDT8NxxOeZ4AaABAg,Fight him when he was 10 years younger : p,6 months ago,0,@ipadprogamer6763,,6rNYWRcjtJI,1,,
Ugx2ZqqkS59exsv2sLp4AaABAg,More lies from brenda 🤣,1 month ago,0,@klopp295,,h1U5SZc1Q4Y,1,,
UgyluPPKCmnSQWyDAD54AaABAg,"BEHEHEHEHEHEHHEHHEHEHEHEHEHEHEHEHEHEHHEHEHEHEHEHEHEHEHE

..i..",1 year ago,0,@El1t3,,6rNYWRcjtJI,1,,
UgxPdlXui7YG_cM4Pp94AaABAg,That USA chant man great,7 months ago,0,@LynxNGB,,kXP85_O0SBk,1,,
UgwhCkRLfCdoFjvV9Sp4AaABAg,Jones will never fight tom,7 months ago,0,@mikethorson7243,,frZnxeNFIL0,1,,
UgxlmjFHQfM5fSmgpex4AaABAg,Jon will tear Toms legs apart just saying,10 months ago,0,@cordelllei9149,,8gI0GTlpEzw,1,,
Ugz30lNrBKbdEcWIvCJ4AaABAg,Jones got a grey beard 😂,3 weeks ago,0,@Imran-iwnl-Haider,,4rsOsYW8XBI,2,,
Ugw1mIOBfW7mMAnHwlh4AaABAg,This is your Goat Guys 😂😂,1 month ago,0,@Killstation-m9y,,41ec87u-PYs,2,,
UgylafJZlweHePlNLbJ4AaABAg,It’s the same with canelo vs Benavidez… they only got to lose and nothing to gain,7 months ago,0,@joaquinl929,,ViBSUxVp1Q0,1,,
UgzTJuDevq080_KZKIF4AaABAg,"JOHN ""DUCK"" JONES!!! what a goat!!! WOOOW",7 months ago,0,@alexanderschiegl2901,,x1DtSmsy8Cs,1,,
UgyFqOlV_OdX-ZJQ16t4AaABAg,😂,10 months ago,0,@iamanzoor,,loI-n85BejQ,1,,
UgxWAL15eMCuWKNUdm94AaABAg,'it was beautiful'- truly spoken like the sociopath he is.,4 months ago,0,@patrickkrohl3612,,AuWMxmE18AU,3,,
