id,text_raw,text_clean
2299,"This  is something that  happens  on  the regular basis..I was a boxer and a boxing coach,  I seen  young  men  begging to  get  out the  ring  and  being traumatized for ever,  when  you get  hit  with  power shots on the  head  u can't see  anyone or  hear anything  you just  fighting on fumes..",this  is something that  happens  on  the regular basis i was a boxer and a boxing coach   i seen  young  men  begging to  get  out the  ring  and  being traumatized for ever   when  you get  hit  with  power shots on the  head  u can t see  anyone or  hear anything  you just  fighting on fumes
2300,Now heavyweight is dead gane is garbage Curtis is a walking corpse literally Jake Paul could smash top 5 heavy,now heavyweight is dead gane is garbage curtis is a walking corpse literally jake paul could smash top 5 heavy
2301,Jones ain’t afraid to strike ! His bag deep that’s the problem. Y’all heavyweights be safe 😂,jones ain t afraid to strike   his bag deep that s the problem  y all heavyweights be safe 😂
2302,What happened to paddy,what happened to paddy
2303,Sonnet got his ass woops 🤣😂,sonnet got his ass woops 🤣😂
2304,Even on the drugs and alcohol Dana could barely get out that announcement 😂😂,even on the drugs and alcohol dana could barely get out that announcement 😂😂
2305,"What a Gracious Warrior, hats off to DC, one of the All Time Greats !!!",what a gracious warrior  hats off to dc  one of the all time greats
2306,"Francis Ngannou is no longer scary, he is not as quick, he lacks power and technic, Jon would annihilate him in the octagon...",francis ngannou is no longer scary  he is not as quick  he lacks power and technic  jon would annihilate him in the octagon
2307,That performance was a masterpiece. Jon handled that like a true professional,that performance was a masterpiece  jon handled that like a true professional
2308,"He should have took the easy way, run it back and get the PPV points.",he should have took the easy way  run it back and get the ppv points
2309,That dude on the left looks like Bud Buddy.,that dude on the left looks like bud buddy
2310,Isn’t this dude a wanted criminal now? 😂,isn t this dude a wanted criminal now  😂
2311,"Records have already been set before proper drug testing existed.  He's beaten those.  Bones IS the goat, regardless of how anybody feels about him ☠.",records have already been set before proper drug testing existed   he s beaten those   bones is the goat  regardless of how anybody feels about him ☠
2312,dc gave you a shot,dc gave you a shot
2313,"Fraud ...picked his fights  and dodged Francis plus tom..
Dana needs to give tom a huge apology","fraud  picked his fights  and dodged francis plus tom 
dana needs to give tom a huge apology"
2314,Jon is being mad strange about Aspinall. Is he actually ducking?,jon is being mad strange about aspinall  is he actually ducking
2315,Two of my favorite fighters in a podcast ?? I’m in let’s go,two of my favorite fighters in a podcast   i m in let s go
2316,Karmas a ... 🙃,karmas a   🙃
2317,Stipe must have pissed off Dana,stipe must have pissed off dana
2318,He is ducking questions about aspinall now!,he is ducking questions about aspinall now
2319,Spit in his face. Lol weren't you the one that was crying after a loss lol,spit in his face  lol weren t you the one that was crying after a loss lol
2320,WTF Rumble? A sad day indeed 😔,wtf rumble  a sad day indeed 😔
2321,You can tell he wasn’t happy about that,you can tell he wasn t happy about that
2322,DC probably my favorite fighter to root for. He’s not the goat or anything he’s just my favorite fighter!,dc probably my favorite fighter to root for  he s not the goat or anything he s just my favorite fighter
2323,"I’m as annoyed with British accents as the next guy, but that’s not a good look for JJ.",i m as annoyed with british accents as the next guy  but that s not a good look for jj
2324,Made this up,made this up
2325,Win by Low blow!!,win by low blow
2326,He got big head…feel like hitting sonnen  with my hardest until his head caves in,he got big head feel like hitting sonnen  with my hardest until his head caves in
2327,Looks like Jon and Francis are going to do their own thing. Together…,looks like jon and francis are going to do their own thing  together
2328,Ran from Aspinall,ran from aspinall
2329,🦆,🦆
2330,LOOK AT EM SMILES 😂😂😂😂,look at em smiles 😂😂😂😂
2331,FINALLY,finally
2332,Khabib the goat,khabib the goat
2333,Tell me you a happy camper and still a unlikable child without telling me.,tell me you a happy camper and still a unlikable child without telling me
2334,Only because he was using new revolutionary techniques. Rampage would have destroyed anyone else in that division at the time,only because he was using new revolutionary techniques  rampage would have destroyed anyone else in that division at the time
2335,That kick looked brutal.,that kick looked brutal
2336,Joe always knows how to handle moments,joe always knows how to handle moments
2337,"Yeah you choked him to sleep, and stunned him with one hit, cause you were on steroids",yeah you choked him to sleep  and stunned him with one hit  cause you were on steroids
2338,Nah I love DJ but he hating. Bones undefeated,nah i love dj but he hating  bones undefeated
2339,This Aspinal dude is a nobody. He will get his chance when the champ is ready!,this aspinal dude is a nobody  he will get his chance when the champ is ready
2340,Serial juicer runs away from a bigger man. Surprise surprise,serial juicer runs away from a bigger man  surprise surprise
2341,Jesus was a messenger sent by God. Dont mix the 2.,jesus was a messenger sent by god  dont mix the 2
2342,"Bye Jones, NEVER been a fan of yours but still all the best to you!",bye jones  never been a fan of yours but still all the best to you
2343,Yall really thinking someone who got 1 loss which shouldn’t have been a loss is scared. Tom ain’t fought no jones before he hasn’t went the distance with someone like Jon,yall really thinking someone who got 1 loss which shouldn t have been a loss is scared  tom ain t fought no jones before he hasn t went the distance with someone like jon
2344,0:32 DC forgot to I'm inflate his right arm,0 32 dc forgot to i m inflate his right arm
2345,UFC has made Interim Champs when the champ was health but unavailable to fight. UFC makes and breaks the rules when it serves their need. Colby was stripped of his Interim belt 1 month after winning it because he had nose surgery & couldn't fight within the time the UFC wanted,ufc has made interim champs when the champ was health but unavailable to fight  ufc makes and breaks the rules when it serves their need  colby was stripped of his interim belt 1 month after winning it because he had nose surgery   couldn t fight within the time the ufc wanted
2346,"This guy is that obsessed with Jon Jones it's quite weird, Jon Jones is the goat mate he will always be remembered, alot of other heavyweights will be remembered, the only way aspinall will be remembered is being obsessed with a fighter who has a skill set 100 times better, jones will retire a great u will retire a bum",this guy is that obsessed with jon jones it s quite weird  jon jones is the goat mate he will always be remembered  alot of other heavyweights will be remembered  the only way aspinall will be remembered is being obsessed with a fighter who has a skill set 100 times better  jones will retire a great u will retire a bum
2347,Have a seat; wait nvm I don’t wanna do this interview; walks away; ok,have a seat  wait nvm i don t wanna do this interview  walks away  ok
2348,England doesn't have free speech.,england doesn t have free speech
2349,Srpska muzika u pozadini,srpska muzika u pozadini
2350,i don't believe a word Jones is saying... if he won't fight then remove the title from him.,i don t believe a word jones is saying  if he won t fight then remove the title from him
2351,Duck 🦆,duck 🦆
2352,@4:40 when he locks up Sonen’s arm behind his head to create enough space for his elbows to land squarely on Sonen’s face. Prime Jon Jones was evil in a ruthless way.,4 40 when he locks up sonen s arm behind his head to create enough space for his elbows to land squarely on sonen s face  prime jon jones was evil in a ruthless way
2353,That looks on Gane is a man looking for his soul after it was taken,that looks on gane is a man looking for his soul after it was taken
2354,"It's all acting and DC knows he's covert sincerity, this is why he feels even worse in defeat.",it s all acting and dc knows he s covert sincerity  this is why he feels even worse in defeat
2355,He’d be slept by Ngannou,he d be slept by ngannou
2356,I think any SAS soldier would spank jon jones in under a minute,i think any sas soldier would spank jon jones in under a minute
