id,text_raw,text_clean
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,jon jones is the goat  it is so unbelievably hard what he did  he became champ at 23 and stay champion until today  he fought the best lightweight champions in their primes  he is a double champ with multiple title defenses  lead in the history in title defenses  basically undefeated  congrat to jon jones
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",you can sense the aggression from jon  dont touch me no friendly face off  he did not want tom to be there at all
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",i guess this answers the question    if you put jones and aspinall in a room who would come out first  the answer is tom  duck killa  aspinall
3,Jones won the round but lost the fight,jones won the round but lost the fight
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",it doesn t matter anyway jon  you beat his ass😂😂his kids can look back now and say their dad got beat up by an  asshole  sucks for him  not you🤝
5,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc is one of the few people on earth that could tank a bomb or takedown from bones lol
6,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,no knees were down   i don t see how it was illegal  i do however see alot of jones haters in these comments though
7,Ngannou Aspinall,ngannou aspinall
8,RIP💙,rip💙
9,Jon could easily kill him if there was no referee,jon could easily kill him if there was no referee
10,"Jon had years to fight Francis and didn't.  He's lying.  He's happy to talk about a fight, knowing that Francis is currently under contract with PFL, so Jon can talk without actually fighting.  That's what he does now.",jon had years to fight francis and didn t   he s lying   he s happy to talk about a fight  knowing that francis is currently under contract with pfl  so jon can talk without actually fighting   that s what he does now
11,Man looks older than Udonis,man looks older than udonis
12,He is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport
13,"This fight should have never happened, jones was x3 faster.",this fight should have never happened  jones was x3 faster
14,"Jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder. Pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho.

Nada que ver con Conor o Topuria.. u Omalley.. etc. Ellos me caen mal y no los considero muy clmpletos.","jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder  pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho 

nada que ver con conor o topuria  u omalley  etc  ellos me caen mal y no los considero muy clmpletos"
15,"And jones does everything he can to avoid it, including retiring himself 😅😅😂😂😂😂",and jones does everything he can to avoid it  including retiring himself 😅😅😂😂😂😂
16,"Tell some idiots who compare ciryl can fight with francis ngannou, Tell them to compare jone jones fight with stipe now... francis finished him in seconds round why stipe was not old as now. Shame to jone jones and his fans.. francis ngannou vs ciryl cane , francis ngannou was even sick! He had an operation on he's knee... francis ngannou will kill jone jones.",tell some idiots who compare ciryl can fight with francis ngannou  tell them to compare jone jones fight with stipe now  francis finished him in seconds round why stipe was not old as now  shame to jone jones and his fans  francis ngannou vs ciryl cane   francis ngannou was even sick  he had an operation on he s knee  francis ngannou will kill jone jones
17,Jon never beat Chael wtf is this fake news,jon never beat chael wtf is this fake news
18,This is why people love Paddy,this is why people love paddy
19,It’s a fight let them knee .Jon jones the best ever,it s a fight let them knee  jon jones the best ever
20,"YOUR DAD AND SISTER HATE YOU
YOUR DAUGHTERS WANT TO CHANGE EXPENSIV E","your dad and sister hate you
your daughters want to change expensiv e"
21,No chance on beating Fury or Wilder.,no chance on beating fury or wilder
22,Ok so did he call it,ok so did he call it
23,"Чемпион, Чемпионов!!! Легенда!!!",чемпион  чемпионов  легенда
24,"I hope it’s all hype to make the fight bigger and that he does end up fighting Tom, I’m not sure thou",i hope it s all hype to make the fight bigger and that he does end up fighting tom  i m not sure thou
25,That look on Jon’s face when they robbed him in the Mat Hamil fight was a look we never saw again . Jones loose . Jones ain’t no looser,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again   jones loose   jones ain t no looser
26,Real champ 💪🏻,real champ 💪🏻
27,The ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer All.yellow 😅,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow 😅
28,And look at him now.. A proper 🦆,and look at him now  a proper 🦆
29,"Wow.  Uploaded by the UFC??? 
Thank you.","wow   uploaded by the ufc  
thank you"
30,Легенда!,легенда
31,If Reyes hadn't lost that fight he would have been a Bonafide star of UFC ...,if reyes hadn t lost that fight he would have been a bonafide star of ufc
32,"“He put his hands above mine, time to only use my fingers and poke his eyes out” the dirty bastard would get whooped if they gloved the rest of the fingers",he put his hands above mine  time to only use my fingers and poke his eyes out  the dirty bastard would get whooped if they gloved the rest of the fingers
33,"Yeah, that's intimidating, but I would've said ""That's kinda gay""",yeah  that s intimidating  but i would ve said  that s kinda gay
34,"Aspinall will not win agains Jones, trust me!",aspinall will not win agains jones  trust me
35,BLESS HIM !!!,bless him
36,GOAT 🐐 OF MMA,goat 🐐 of mma
37,"Honestly I totally get his perspective. I don't think he is making that decision based on losing his ""heavy weight"" title. He's already said he would rather vacate the title and move back down to his normal weight class",honestly i totally get his perspective  i don t think he is making that decision based on losing his  heavy weight  title  he s already said he would rather vacate the title and move back down to his normal weight class
38,"Dana: we ll make an exception for you jones, you can juice up without no one knowing. Deal?
Jones: pictogram? Pinch of salt? Owwww yeaah","dana  we ll make an exception for you jones  you can juice up without no one knowing  deal 
jones  pictogram  pinch of salt  owwww yeaah"
39,Prochazka is coming...,prochazka is coming
40,#Quackquackquack 🦆,quackquackquack 🦆
41,Clean??? I thought his whole issue is he can't stay clean??? 😂,clean  i thought his whole issue is he can t stay clean  😂
42,He has 0 chance against Fury & wilder they will both put him to sleep,he has 0 chance against fury   wilder they will both put him to sleep
43,"This guys motivation sucks. ""You got this. Cmon you got this. Breathe. You got this""

Literally the worst coach/cornerman I've seen in a long time.","this guys motivation sucks   you got this  cmon you got this  breathe  you got this 

literally the worst coach cornerman i ve seen in a long time"
44,Легендарный Последний Император!!!,легендарный последний император
45,"All the shit talking about jon, first achieve what jon did. No  only jon and khabib made history with no loss.",all the shit talking about jon  first achieve what jon did  no  only jon and khabib made history with no loss
46,"If that sound was real, thats Crazy. Probably broke his Cheek or Orbital. It probably cost him the fight.",if that sound was real  thats crazy  probably broke his cheek or orbital  it probably cost him the fight
47,A blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft. I’ll never pay $80 to see trump and his clown posse shown between every fight 😂,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft  i ll never pay  80 to see trump and his clown posse shown between every fight 😂
48,honestly prizepicks been easy af cash ngl,honestly prizepicks been easy af cash ngl
49,Why are we translating English to English??,why are we translating english to english
50,WTactuallyF,wtactuallyf
51,"Lucky the other guy isn’t the same kind of asshole he is, that teabag would have ended up around his ears, he’d of had new earrings that looked like walnuts! LOL 😂",lucky the other guy isn t the same kind of asshole he is  that teabag would have ended up around his ears  he d of had new earrings that looked like walnuts  lol 😂
52,Jon is looking to rematch his wife at the hotel. Last time they went to decision and the cops ruled it a no contest.,jon is looking to rematch his wife at the hotel  last time they went to decision and the cops ruled it a no contest
53,Ank will beat tom. Watch.,ank will beat tom  watch
54,Great idea in the first place to bring Nate to Dagestan 🎉😂,great idea in the first place to bring nate to dagestan 🎉😂
55,😂😂😂 greatest cheat you mean.  Khabib is the greatest,😂😂😂 greatest cheat you mean   khabib is the greatest
56,Jon was absolutely thinking bad thoughts on that 3rd interruption,jon was absolutely thinking bad thoughts on that 3rd interruption
57,Nick very lucky there ngl,nick very lucky there ngl
58,"In Boxing, that’s what you call an E-Mail mickey mouse champion 🥊",in boxing  that s what you call an e mail mickey mouse champion 🥊
59,Hey can someone appreciate me,hey can someone appreciate me
60,"Most people do not see what an utter psychopathic scumbag Jon Jones is. The man has zero shame, zero guilt, zero principles, zero morals.",most people do not see what an utter psychopathic scumbag jon jones is  the man has zero shame  zero guilt  zero principles  zero morals
61,"12, million Jones left on the table because he don't want to get knocked out. He will retire for ZERO money...🦆🦆",12  million jones left on the table because he don t want to get knocked out  he will retire for zero money 🦆🦆
62,Another easy win for Chael,another easy win for chael
63,Jon Jones was losing. He viciously knees Andre in the nuts and punches/elbows him several times when the fight is obviously stopped. Jones is just a little kid in a man's body. So scared to lose he'll disrespect the sport and his opponent because he's hungry for a win. Pathetic tiny brain mind.,jon jones was losing  he viciously knees andre in the nuts and punches elbows him several times when the fight is obviously stopped  jones is just a little kid in a man s body  so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win  pathetic tiny brain mind
64,Brady didn’t let patty mahomees,brady didn t let patty mahomees
65,DC still scarred by his loss to Jon Jones 🤣,dc still scarred by his loss to jon jones 🤣
66,It's hilarious listening to your interview JENNIFER**  DUCKSTER DUCK MASTER **  Jones ‼️‼️‼️‼️‼️ Listen to JENNIFER * THE DUCK  *  everyone  DOES EVERYONE HEAR HIM LOUD AND CLEAR TRYING TO AVOID THE GUY HE DEF KNOWS IS GOING TO SMOKE HIS A$$‼️‼️‼️‼️‼️‼️‼️🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,it s hilarious listening to your interview jennifer   duckster duck master    jones   listen to jennifer   the duck     everyone  does everyone hear him loud and clear trying to avoid the guy he def knows is going to smoke his a 🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆
67,Jon's gonna be remembered for all the wrong things,jon s gonna be remembered for all the wrong things
68,"What a Bellend,  time for a new Dana",what a bellend   time for a new dana
69,Jon do you think I'm just gonna sit here and let you get interviewed by me??,jon do you think i m just gonna sit here and let you get interviewed by me
70,Meanwhile Jon is doing hikes in NM and thinking about other shit.,meanwhile jon is doing hikes in nm and thinking about other shit
71,Fight him when he was 10 years younger : p,fight him when he was 10 years younger   p
72,More lies from brenda 🤣,more lies from brenda 🤣
73,"BEHEHEHEHEHEHHEHHEHEHEHEHEHEHEHEHEHEHHEHEHEHEHEHEHEHEHE

..i..","behehehehehehhehhehehehehehehehehehehhehehehehehehehehe

 i"
74,That USA chant man great,that usa chant man great
75,Jones will never fight tom,jones will never fight tom
76,Jon will tear Toms legs apart just saying,jon will tear toms legs apart just saying
77,Jones got a grey beard 😂,jones got a grey beard 😂
78,This is your Goat Guys 😂😂,this is your goat guys 😂😂
79,It’s the same with canelo vs Benavidez… they only got to lose and nothing to gain,it s the same with canelo vs benavidez  they only got to lose and nothing to gain
80,"JOHN ""DUCK"" JONES!!! what a goat!!! WOOOW",john  duck  jones  what a goat  wooow
81,😂,😂
82,'it was beautiful'- truly spoken like the sociopath he is.,it was beautiful  truly spoken like the sociopath he is
83,Can’t wait to see all the comments saying Jon is ducking him when he’s in the fight full mount raining ground and pound and chokes him out. Bunch of casuals who just started watching UFC in this comment section. Even after that dominant performance in Jon’s last fight. It’s goijng to happen again.,can t wait to see all the comments saying jon is ducking him when he s in the fight full mount raining ground and pound and chokes him out  bunch of casuals who just started watching ufc in this comment section  even after that dominant performance in jon s last fight  it s goijng to happen again
84,If these fighters are so good you fight the best no question,if these fighters are so good you fight the best no question
85,John bones the dodger,john bones the dodger
86,Forget the alcohol was Matt riddle😂,forget the alcohol was matt riddle😂
87,Sexual Chocolate 🍫,sexual chocolate 🍫
88,"He should fight tom for the belt , then alex",he should fight tom for the belt   then alex
89,John Jones is a fuckin bum that would get smashed in a street fight,john jones is a fuckin bum that would get smashed in a street fight
90,"Jon jones goat 
* Drug cheat
* Woman beater
* Professional duck","jon jones goat 
  drug cheat
  woman beater
  professional duck"
91,Easy fight on cke,easy fight on cke
92,U forgot to look under /inside cage,u forgot to look under  inside cage
93,Why not fight them both since  your the  GOAT? .Prove the people  wrong  then john.,why not fight them both since  your the  goat   prove the people  wrong  then john
94,I think the fans would much rather see JJ fight TA way before he fights AP…I would say if he beats SM…then fight TA and if you win that fight then fight AP.,i think the fans would much rather see jj fight ta way before he fights ap i would say if he beats sm then fight ta and if you win that fight then fight ap
95,DC goat,dc goat
96,They all affect your legacy,they all affect your legacy
97,"The most impressive accomplishment from Chael, changing bodies just for the time of a fight with Jon Jones. Clearly a wizard and the goat.",the most impressive accomplishment from chael  changing bodies just for the time of a fight with jon jones  clearly a wizard and the goat
98,"I just want it to be known that this made headlines for his corner not calling it and forcing him to call it. Worse mistake ever, basically throwing your boy under the bus 🚐.",i just want it to be known that this made headlines for his corner not calling it and forcing him to call it  worse mistake ever  basically throwing your boy under the bus 🚐
99,Quitters never win 🏆 U need to go watch this full a** whooping he got for him to quit like this,quitters never win 🏆 u need to go watch this full a  whooping he got for him to quit like this
100,It’s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds.,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds
101,"man I don't get why they wear masks, hard for me to watch with that",man i don t get why they wear masks  hard for me to watch with that
102,Get that revenue,get that revenue
103,Gua bilang pa si monyet Jones kalo kepepet pasti peler yg di hajar,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar
104,"""Did Herb just hit me"" 😂😂",did herb just hit me  😂😂
105,"Jon always run too afraid fight aspinal. Come on Jon, why you never want to fight aspinal? Are you too scared?",jon always run too afraid fight aspinal  come on jon  why you never want to fight aspinal  are you too scared
106,"I think my audio is broken, all i heard was quack quack",i think my audio is broken  all i heard was quack quack
107,"put it on the official record, Tom is 1-0 vs Jon, fastest TKO in history",put it on the official record  tom is 1 0 vs jon  fastest tko in history
108,"Jon Jones signed a new 8 fight deal...
He fought 1 time after against Ciryl Gane...
According to your video that would be 1 or at most 2 more UFC fights...
That obviously leaves several fights still tied to UFC...
Unless granted a release your video idea of post UFC fights don't seem to have much possibility...","jon jones signed a new 8 fight deal 
he fought 1 time after against ciryl gane 
according to your video that would be 1 or at most 2 more ufc fights 
that obviously leaves several fights still tied to ufc 
unless granted a release your video idea of post ufc fights don t seem to have much possibility"
109,What a coward,what a coward
110,I’m gay 😊,i m gay 😊
111,"I just don't think Tom Can beat Jon, I have nothing against him personally, but Jon is a different animal",i just don t think tom can beat jon  i have nothing against him personally  but jon is a different animal
112,That's one of the reasons they hate on you champ,that s one of the reasons they hate on you champ
113,"Typicall Jon Jones. I pray for his wife and kids. He is for sure not the GOAT of MMA. He is good, but he is also a cheater in MMA and marriage, a riminal, a drug user, a steoroid user, a wife beater and a p*ssy. He was ducking Gustaffson for years as well as Aspinall, not forget his controversial ""wins"" at the end of his LHW run. JJ is no MMA Mount Rushmore material.",typicall jon jones  i pray for his wife and kids  he is for sure not the goat of mma  he is good  but he is also a cheater in mma and marriage  a riminal  a drug user  a steoroid user  a wife beater and a p ssy  he was ducking gustaffson for years as well as aspinall  not forget his controversial  wins  at the end of his lhw run  jj is no mma mount rushmore material
114,The dragon have my respect everyone tap in that choke but he didn't❤,the dragon have my respect everyone tap in that choke but he didn t❤
115,honest saying,honest saying
116,Personally I think jones can suck a giant pickled egg. I want Tom to get his shot at undisputed regardless if bones is there or still in Thai land “living his best life”,personally i think jones can suck a giant pickled egg  i want tom to get his shot at undisputed regardless if bones is there or still in thai land  living his best life
117,Didn't know stewart from snl did mma,didn t know stewart from snl did mma
118,Well done brother 🙏,well done brother 🙏
119,LOL guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion,lol guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion
120,Told ya no1 likes this Adam fella,told ya no1 likes this adam fella
121,"Epic win, uncle chael",epic win  uncle chael
122,Most people aren't intelligent enough to recognize the work of a genius.,most people aren t intelligent enough to recognize the work of a genius
123,black kratos,black kratos
124,Its sad that he talks like this he is straightforward saying Aspinal is better,its sad that he talks like this he is straightforward saying aspinal is better
125,This comment section is golden... I love it.,this comment section is golden  i love it
126,100% GUARANTEE BY THE WAY LMAO,100  guarantee by the way lmao
127,Ngannou against last names in spanish.,ngannou against last names in spanish
128,"damn the duck quacked so hard at just an english accent, now think of how much he`s ducking tom",damn the duck quacked so hard at just an english accent  now think of how much he s ducking tom
129,"the first fight, him soccer kickin doot after the stoppage..

his dark heart has never been hidden","the first fight  him soccer kickin doot after the stoppage 

his dark heart has never been hidden"
130,"Jones champion, buuu, buuuuu!. Nervous gay.",jones champion  buuu  buuuuu  nervous gay
131,No he didn't he will never fight tom,no he didn t he will never fight tom
132,Tom will loss his next fight im sure of it hes lost twice all ready,tom will loss his next fight im sure of it hes lost twice all ready
133,Thank God Ank beat Alex pereira 😂,thank god ank beat alex pereira 😂
134,Jon Jones is an absolute embarrassment to the sport of MMA. Tom is the real undisputed heavyweight champ,jon jones is an absolute embarrassment to the sport of mma  tom is the real undisputed heavyweight champ
135,"He avoided retiring in the cage after his win over Stipe so he could waste everyone's time, everyone, and then retire like this. Such a shame but clearly ducking",he avoided retiring in the cage after his win over stipe so he could waste everyone s time  everyone  and then retire like this  such a shame but clearly ducking
136,not a jones fight without a foul,not a jones fight without a foul
137,"No one :
Jon Jones : Destroying ball mode actived","no one  
jon jones   destroying ball mode actived"
138,🤔 Costa's elbow looks like a nipple 💯😂🍕,🤔 costa s elbow looks like a nipple 💯😂🍕
139,Bruh Frances will whip both of them,bruh frances will whip both of them
140,"Man, just being there is good enough. 🤙",man  just being there is good enough  🤙
141,Aspinall so THIRSTY to fight the champ how many times must Bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,aspinall so thirsty to fight the champ how many times must bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂
142,DC?,dc
143,How is this clown an mma reporter and still cant pronounce alex pereira correctly,how is this clown an mma reporter and still cant pronounce alex pereira correctly
144,"And they calling Khabib ""the GOAT"". Hmm, i get the joke, 15:4",and they calling khabib  the goat  hmm  i get the joke  15 4
145,Why does an interim champion think he has control over the goat. He hasn’t done anything to try and dictate anything to a fighter of Jon Jones status. If he was talking Gane he might have a point but he’s not on jones level to dictate shit to jones,why does an interim champion think he has control over the goat  he hasn t done anything to try and dictate anything to a fighter of jon jones status  if he was talking gane he might have a point but he s not on jones level to dictate shit to jones
146,Francis is a lot more intelligent than what parolee give him credit for.,francis is a lot more intelligent than what parolee give him credit for
147,is  Jon Jones still fighting?,is  jon jones still fighting
148,DC is spot on. No hate detected. Just analysis.,dc is spot on  no hate detected  just analysis
149,A body tko is fucking insane! Good job bones,a body tko is fucking insane  good job bones
150,"JJ’s legacy will forever be tarnished! There is NO reason to duck Aspinall. So what if he loses, he’s just laid out the excuses in this clip. I’d personally think a lot more of him if he’d take on a bigger, younger guy. If he’s the GOAT…you don’t shit your pants and fight a striker with ZERO ground skills. JJ will smother Pereira, it’ll be a boring fight and JJ will win by submission",jj s legacy will forever be tarnished  there is no reason to duck aspinall  so what if he loses  he s just laid out the excuses in this clip  i d personally think a lot more of him if he d take on a bigger  younger guy  if he s the goat you don t shit your pants and fight a striker with zero ground skills  jj will smother pereira  it ll be a boring fight and jj will win by submission
151,Somebody call a doctor. Stipe ain't gon shit right for 2weeks after the mule kick. Ouch. I feel bad for dood.,somebody call a doctor  stipe ain t gon shit right for 2weeks after the mule kick  ouch  i feel bad for dood
152,Coward move,coward move
153,"You jones haters cope so hard, always the guys who know nothing about fighting",you jones haters cope so hard  always the guys who know nothing about fighting
154,"""You do what you want when you poppin"" - Future 😂",you do what you want when you poppin    future 😂
155,"I remember you most for being a cheater, drug addict and just a pos person",i remember you most for being a cheater  drug addict and just a pos person
156,Maybe One Day....😅😅,maybe one day 😅😅
157,Dirty move below the belt by Jon jones,dirty move below the belt by jon jones
158,"The next tactic from Dana will be-  ""We offered Jones the most money in ufc history..if he doesn't wanna fight I can't force him!""",the next tactic from dana will be    we offered jones the most money in ufc history if he doesn t wanna fight i can t force him
159,Reason why he quit??,reason why he quit
160,"Dana saying ""It is none of my business"" is so absurd, he is literally the authority who runs the UFC, If there is someone who NEEDS do to something about Jon Jones is Dana.",dana saying  it is none of my business  is so absurd  he is literally the authority who runs the ufc  if there is someone who needs do to something about jon jones is dana
161,Jones is scared of the younger fighter. He wants to talk shit to an older retired fighter. Chump.,jones is scared of the younger fighter  he wants to talk shit to an older retired fighter  chump
162,We saw it with dominick reyes. He beat jon jones and after that he doesnt want to fight anyone. He took the fight out of him to the point hes just dicking all the best fighters trying to get dana to give him pinching bags as oppnents. His time was up 3 years ago,we saw it with dominick reyes  he beat jon jones and after that he doesnt want to fight anyone  he took the fight out of him to the point hes just dicking all the best fighters trying to get dana to give him pinching bags as oppnents  his time was up 3 years ago
163,"Joe is so stupid, chael used his mind to snap his toe you idiot",joe is so stupid  chael used his mind to snap his toe you idiot
164,I didn’t kno these to fought,i didn t kno these to fought
165,"Dana is still in denial of what Francis did to him, choosing himself over Dana.",dana is still in denial of what francis did to him  choosing himself over dana
166,Jon Jones still looks the same lmao,jon jones still looks the same lmao
167,Ask khabib,ask khabib
168,He has weak ribs if that kick took him down.,he has weak ribs if that kick took him down
169,"Afterwards, proceeded to hand our great incoming President Trump his belt.",afterwards  proceeded to hand our great incoming president trump his belt
170,"Jones doesn't look to be in particularly good shape. Of course, that doesn't seem to matter.",jones doesn t look to be in particularly good shape  of course  that doesn t seem to matter
171,DC has some of the best shit talk man. When he told Bader he wanted the easiest fight in the division 😅😅😅,dc has some of the best shit talk man  when he told bader he wanted the easiest fight in the division 😅😅😅
172,"weird man, just weird, and btw, over it. you losing fans by the minute, good work, its pr genius....not",weird man  just weird  and btw  over it  you losing fans by the minute  good work  its pr genius not
173,Just seeing him regain his balance is terrifying,just seeing him regain his balance is terrifying
174,Все легенды в одном октагоне,все легенды в одном октагоне
175,His punch come from very long distance so it's momentum is very high,his punch come from very long distance so it s momentum is very high
176,"“Hey pussy, you still there?”",hey pussy  you still there
177,"Bones is one of the greatest, but man… this guy needs to be punished ASAP, such a dirty player",bones is one of the greatest  but man  this guy needs to be punished asap  such a dirty player
178,"Jon ""The black Homelander"" Jones",jon  the black homelander  jones
179,ჯრბ❤❤❤❤,ჯრბ❤❤❤❤
180,Jon Jones is stuffing his face with those Thailand lady boys.,jon jones is stuffing his face with those thailand lady boys
181,"“Why do people want me to fight the interim champ, he hasn’t earned it. What if I lose?”",why do people want me to fight the interim champ  he hasn t earned it  what if i lose
182,UFC becoming a political mess. Fight or strip that simple. Dana White is holding onto Jon Jones as long as possible as they make future contract deals. Keeping the Heavyweight division for ransom. Its a shit show no good morals left in the ufc. UFC doesn't deserve Tom Aspinall. Tom could of won a heavyweight belt in One Championship in this bullshit time waiting around and come back in time and still waiting on this political mess lol think about that i belive he could layed out 4 guys or at least 3 in another organisation without a scratch  on him and be back to warm up agsinst Jon Jones 👍,ufc becoming a political mess  fight or strip that simple  dana white is holding onto jon jones as long as possible as they make future contract deals  keeping the heavyweight division for ransom  its a shit show no good morals left in the ufc  ufc doesn t deserve tom aspinall  tom could of won a heavyweight belt in one championship in this bullshit time waiting around and come back in time and still waiting on this political mess lol think about that i belive he could layed out 4 guys or at least 3 in another organisation without a scratch  on him and be back to warm up agsinst jon jones 👍
183,"If every fighter was in their prime, what match up would like to see? 
Spider vs Bones imo","if every fighter was in their prime  what match up would like to see  
spider vs bones imo"
184,"Absolute clown, not goat material",absolute clown  not goat material
185,Nose candy metabolites? is that fancy words for cocaine?,nose candy metabolites  is that fancy words for cocaine
186,"ထက္ျမက္  ျပီး အသိဥာဏ္ျမင့္မား
တဲ႕  ပရိရာယ္ နဲ႕ ထပ္တူက်တဲ႕
ခႏၱာ စြမ္းအင္ 'ေလ့က်င့္ထူေထာင္
ထားနိဳင္သူ  ေပါ့ဗ်ာ ။
 ' စီ ေရာ္နယ္ဒို'သာ mma ဝါသ
နာ  ပါခဲ႕လ်င္'အေကာင္းဆံုး ျပိဳင္
ဖက္ ျဖစ္မွာ ေသခ်ာတယ္ ဗ် ။","ထက မက    ပ  အသ ဥ ဏ မင မ 
တ ႕  ပရ ရ ယ  န ႕ ထပ တ က တ ႕
ခ  စ မ အင   လ က င ထ ထ င 
ထ န င သ    ပ ဗ   
   စ   ရ နယ ဒ သ  mma ဝ သ
န   ပ ခ ႕လ င အ က င ဆ   ပ င 
ဖက   ဖစ မ   သခ တယ  ဗ"
187,"Jones getting retired by Aspinall is truly hilarious. Hey UFC, we are done with Jones and ready for Tom to have his time. The ""goat"" going out like this is so ironic.",jones getting retired by aspinall is truly hilarious  hey ufc  we are done with jones and ready for tom to have his time  the  goat  going out like this is so ironic
188,"but that's because the undisputed champ's fight after his or her return is supposed to be unifying it with the interim title. In this case, Jones is refusing to honor the interim champion belt and you could make the argument that HE should be stripped of the heavyweight title the second the fight starts for him and Stipe.",but that s because the undisputed champ s fight after his or her return is supposed to be unifying it with the interim title  in this case  jones is refusing to honor the interim champion belt and you could make the argument that he should be stripped of the heavyweight title the second the fight starts for him and stipe
189,"Damn I remember when I first saw this live on TV when I was so young. My oldest brother started training and got me and my older brother into the sport. He Always had us training at home, watching videos, and techniques. I was about 11 and was very fresh to the sport and I remember just being shocked with his fighting style, never seen anything like that at my age. To think  how fast things changed for him is crazy",damn i remember when i first saw this live on tv when i was so young  my oldest brother started training and got me and my older brother into the sport  he always had us training at home  watching videos  and techniques  i was about 11 and was very fresh to the sport and i remember just being shocked with his fighting style  never seen anything like that at my age  to think  how fast things changed for him is crazy
190,AI is really getting insanely good…,ai is really getting insanely good
191,FACTS!!!!!,facts
192,Duck Jones,duck jones
193,DC >,dc
194,This is jon jones month let him live his best life with the boys. Club Tropicana drinks are free fun and sunshine love for everyone 😂,this is jon jones month let him live his best life with the boys  club tropicana drinks are free fun and sunshine love for everyone 😂
195,"he aint fighting Francis, Francis wanted that fight Jones waited for him to leave, imho",he aint fighting francis  francis wanted that fight jones waited for him to leave  imho
196,Its been 6 months since Jon's last fight and he has said it will be next year before he fights.  No one gets to hold the title for a year and a half without defending,its been 6 months since jon s last fight and he has said it will be next year before he fights   no one gets to hold the title for a year and a half without defending
197,"2mins in had me howling when bispings face came up on that mobile phone hahah ""yeah the fights happening""",2mins in had me howling when bispings face came up on that mobile phone hahah  yeah the fights happening
198,Tom turned the Goat into a Duck.  And Chandler continues to be the dirtiest fighter in the whole UFC,tom turned the goat into a duck   and chandler continues to be the dirtiest fighter in the whole ufc
199,"Your going to see Nice Dana, Mad Dana, and Mean Dana.🤣🤦🏼‍♂ But either way… Chaels the best storyteller in the Business right now. Hands down. It’s a pro wrestling vignette cross with a color commentary. 🤣🤣🤣🤣🤣",your going to see nice dana  mad dana  and mean dana 🤣🤦🏼 ♂ but either way  chaels the best storyteller in the business right now  hands down  it s a pro wrestling vignette cross with a color commentary  🤣🤣🤣🤣🤣
200,"even if Jon is planning to fight him hes doing this for mind games. everyone talks about his fight IQ and how he knows what to do to get inside his opponents head and learn them.

on the contrary he made tweets already about how much money hes making on all this publicity and even thanked fans for tweeting about it.

hes also repeatedly made it obvious he doesn't want to fight tom. hes always said in conferences ""this guy doesn't even matter who is he"" etc. 

this fight in my opinion won't happen. Jon knows this guy has a shot at beating him, plus his age, his legacy, etc. hes just cashing out from the publicity then hes gonna leave.","even if jon is planning to fight him hes doing this for mind games  everyone talks about his fight iq and how he knows what to do to get inside his opponents head and learn them 

on the contrary he made tweets already about how much money hes making on all this publicity and even thanked fans for tweeting about it 

hes also repeatedly made it obvious he doesn t want to fight tom  hes always said in conferences  this guy doesn t even matter who is he  etc  

this fight in my opinion won t happen  jon knows this guy has a shot at beating him  plus his age  his legacy  etc  hes just cashing out from the publicity then hes gonna leave"
201,he was partially joking. just british humour,he was partially joking  just british humour
