metric,count,mean,std,min,25%,50%,75%,max,created_at
n_chars,5000.0,91.799,138.51455033725168,1.0,29.0,56.0,106.0,3213.0,2026-07-04 19:23:46
n_words,5000.0,17.5244,25.684355975347593,1.0,6.0,11.0,20.0,549.0,2026-07-04 19:23:46
n_urls,5000.0,0.001,0.03161012242886752,0.0,0.0,0.0,0.0,1.0,2026-07-04 19:23:46
n_mentions,5000.0,0.0014,0.037394112690807176,0.0,0.0,0.0,0.0,1.0,2026-07-04 19:23:46
n_hashtags,5000.0,0.0038,0.06153305829757439,0.0,0.0,0.0,0.0,1.0,2026-07-04 19:23:46
n_emojis,5000.0,0.1918,0.3937559761498875,0.0,0.0,0.0,0.0,1.0,2026-07-04 19:23:46
