commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgzTZ3pCElxe2jQkVEF4AaABAg,AI,9 hours ago,0,@KwesiKurwakumire,,B6qaZfeDIH8,1,,
Ugwz5SOjZnhx73bavJh4AaABAg,I hope Jon sees this video,9 hours ago,0,@Ann_L_Plugs,,B6qaZfeDIH8,1,,
UgzVNIa1-fCoOhtwpLx4AaABAg,Yeah Jon Jones is being a b** for the whole time.,9 hours ago,0,@MusaibBasher,,B6qaZfeDIH8,1,,
Ugz3R24bhAxOVyqO2uB4AaABAg,Damn it’s really messed up that this is possible these days. They can make literally anything look real…. Even tho this one is speaking truth,10 hours ago,0,@chris10878,,B6qaZfeDIH8,1,,
UgzN7e9cQWfCfT_8bYt4AaABAg,AI generated garbage,10 hours ago,0,@ogloc8405,,B6qaZfeDIH8,1,,
UgzMXGHGpO3Oea1IXrx4AaABAg,People would respect him more if he actually came out saying it like this,10 hours ago,0,@Raccoonist1,,B6qaZfeDIH8,1,,
UgyLDpe5Q0xBvUmj_Gl4AaABAg,shame on you,10 hours ago,0,@rennohara376,,B6qaZfeDIH8,1,,
UgzYnOGspcc3fbjCq2R4AaABAg,This is real video 🎉❤❤,11 hours ago,0,@shilamahanty3455,,B6qaZfeDIH8,1,,
UgwK1CCaxWsoMTfm5bd4AaABAg,Haha greatest ai of all times,11 hours ago,0,@jepits,,B6qaZfeDIH8,1,,
UgzzKNVleoww1srRHt54AaABAg,Sweet now go to PFL and fight Ngannou,11 hours ago,0,@Nigel-p8m,,B6qaZfeDIH8,1,,
Ugw_CsfjkzG6g7xDdvR4AaABAg,If Jon fights Tom? Jon is going to get knocked for the second time in less than one year. After you have been knocked out in sparring or a bout? It's 6 month suspension.,11 hours ago,0,@ModaffariWill,,B6qaZfeDIH8,1,,
Ugw_pF8fzW98nOGG0OB4AaABAg,this got to be the most funniest shit ever this week.,11 hours ago,0,@Wathanakjin4,,B6qaZfeDIH8,1,,
UgzNOsRce6yuAnN2lI94AaABAg,Can Jon cluck like a chicken? He should be able too with 2 years of practice and everybody standing still in line waiting for him to make a decision. What a POS.....,11 hours ago,0,@tired7140,,B6qaZfeDIH8,1,,
UgzNOUcO7jgEM4_LsTR4AaABAg,DOAT 🗣️🔥🦆,11 hours ago,0,@YouTubeCommenter8,,B6qaZfeDIH8,1,,
UgxxX9XdrIqWwiVM0Ml4AaABAg,AI lol,11 hours ago,0,@nsh1772,,B6qaZfeDIH8,1,,
UgxVN5azGyWyw_5lRnB4AaABAg,"most truthful jones interview ever, thanks for sharing!",11 hours ago,0,@Africasideways,,B6qaZfeDIH8,1,,
UgxMzIHenctZmmrAZvV4AaABAg,There is nothing fake in this video 😂,11 hours ago,0,@alexandru0729,,B6qaZfeDIH8,1,,
UgyoBqwo_bvu-3Dp70l4AaABAg,It's not jon Jones talking that's AI,11 hours ago,0,@erichtsam4118,,B6qaZfeDIH8,1,,
UgxvByhDhCUEuqitFUd4AaABAg,another stupid A 1 video,11 hours ago,0,@ronfender8101,,B6qaZfeDIH8,1,,
UgzO59pDYlwVIh7WGpd4AaABAg,bruh this is the sport i follow above all else and finally the main man himself has blessed us with Ai,11 hours ago,0,@G.I_Jane,,B6qaZfeDIH8,1,,
UgyJgktr3S1JBFdPXD54AaABAg,W,11 hours ago,0,@bobliu9416,,B6qaZfeDIH8,1,,
UgwHIte_LIbQ1AidXbl4AaABAg,I hate AI allready,12 hours ago,0,@bjornnobels5167,,B6qaZfeDIH8,1,,
UgyLxilVEigAL4wd0tl4AaABAg,😂😂😂,12 hours ago,0,@MarvenTudas,,B6qaZfeDIH8,1,,
Ugxn005JlBwJqOmbE6p4AaABAg,Jon HAS to see this 😂,12 hours ago,0,@state0fdecay365,,B6qaZfeDIH8,1,,
UgwNk4YIC3wLym2qcSJ4AaABAg,To be fair he washed and didn’t have motivation to fight. His retirement wasn’t premature,12 hours ago,0,@MoeJaxon,,B6qaZfeDIH8,1,,
UgxLZSUIA37Zwr93hQl4AaABAg,Damn that’s scary good! The follow up latest police incident one gonna be a classic no doubt😂,12 hours ago,0,@cryptowatch-ed7cm,,B6qaZfeDIH8,1,,
Ugw7eV86se25l-5xdOR4AaABAg,🤣🤣🤣🤝🤝🤝,12 hours ago,0,@joeykcn2693,,B6qaZfeDIH8,1,,
UgyPOhfaaRby8dAYeAp4AaABAg,He did retire he escaped,12 hours ago,0,@jamescrews3516,,B6qaZfeDIH8,1,,
UgyXeIf2GctkdhQzryd4AaABAg,All I heard is quack quack quack 😅,12 hours ago,0,@EN19MA_627,,B6qaZfeDIH8,1,,
UgwfH6t-ogjpRz0ANBp4AaABAg,Knew it was ai 😂,12 hours ago,0,@WatchersReport,,B6qaZfeDIH8,1,,
Ugz0x-bCRhDmod1dcmd4AaABAg,Jon jones is the goat,12 hours ago,0,@billybucks8234,,B6qaZfeDIH8,1,,
UgxHv2CXamDTLu90--B4AaABAg,Stop 😂😂,12 hours ago,0,@Mark-bd5ci,,B6qaZfeDIH8,1,,
UgyaeEal-D27AlAj0d94AaABAg,Bahahahaha!🤣😅😂💀☠️,12 hours ago,0,@BobbyGreen-j9x,,B6qaZfeDIH8,1,,
UgxRGvoxZ3QeTWD6IrJ4AaABAg,"He was never the GOAT . Now maybe we can shift this to the real GOAT and thats the pride of Montreal,  George St Pierre",13 hours ago,0,@We_are_the_light,,B6qaZfeDIH8,1,,
UgxwAZOOe1vq86Wvle54AaABAg,"What a pathetic, cowardly way to go out. Shameful. 🦆🦆🦆😆😆😆",13 hours ago,0,@sahacking,,B6qaZfeDIH8,1,,
UgwfrbhBy_cizcER65t4AaABAg,Hahahahaha,13 hours ago,0,@TiddyYO,,B6qaZfeDIH8,1,,
UgxDLPoAQcBBcH-G67t4AaABAg,"Not sure what's more cringe. The seethe made video, or the fact that clowns pay out the ass to subscribe to simple video creation AI.",13 hours ago,0,@mick7727,,B6qaZfeDIH8,1,,
UgxaBOEzjh2aCXBWhER4AaABAg,"This is gold lmao

Thank you",13 hours ago,0,@WifeBeatingScum,,B6qaZfeDIH8,1,,
UgwqRC4ni-lkzAIkeql4AaABAg,Enjoy your retirement champ your definitely the LHW 🐐,13 hours ago,0,@mrrich0974,,B6qaZfeDIH8,1,,
Ugww-2xXGb_hZi6yL1J4AaABAg,😂😂😂,13 hours ago,0,@user-of1zk2ct5p,,B6qaZfeDIH8,1,,
UgwQrlEhg_GMj6h9Li14AaABAg,The truth is he’s past his best and there is nothing wrong with that he’s been an amazing fighter and champion but no one can argue he’s stagnated the best division in the sport by allowing the inactivity to creep in. I’d of respected  him more if he said listen I’ve loads of cash in the bank and I’ve no desire at my age and after however many fights to get in with a young hungry talented lad like Aspinall let him now have the floor. The thing is his ego won’t allow that so he comes on talking drivel making himself look daft!!,13 hours ago (edited),0,@obers7713,,B6qaZfeDIH8,1,,
UgwC3v7q5-A36UsZ_qN4AaABAg,Lol you guys are so brain broke. You need this lmao. Your fantasies are weird asf. Lets see what tom does now lol. You heard he called out blades? Lnao enjoy tom fighting noone lmao. Better hope francis doesnt come back lol. Tom will not brat him. Jon will come back to fight francis not tom lol. Toms only someone to wht mma fans who hate to see a blk champ.,13 hours ago,0,@bigfoots7019,,B6qaZfeDIH8,1,,
Ugxlu3zsJyx47XPDP3Z4AaABAg,:face-green-smiling: You knew this was coming.,13 hours ago,0,@robertcuratolo5339,24.0,B6qaZfeDIH8,1,,
UgwqBDzeorADmsEv0gN4AaABAg,You couldn't convince me that this was AI,13 hours ago,0,@zidansyahab2960,,B6qaZfeDIH8,1,,
Ugxpi5GsbcBsL-2_w0V4AaABAg,What a loser,13 hours ago,0,@tonypalermo5796,,B6qaZfeDIH8,1,,
Ugz7WtvMamVPANK_gYd4AaABAg,Excellent 🤣🤣🤣🤣🤣,13 hours ago,0,@ILoveHellas,,B6qaZfeDIH8,1,,
Ugx49vuahu67K1S7Dgh4AaABAg,"Tom was right he retired him without fighting him, glad your retired buddy, enjoy life and its rewards, God bless",13 hours ago,0,@rogerbarkley9264,,B6qaZfeDIH8,1,,
UgyLrMGud5tF6Ramwu54AaABAg,"Please make more boxing content too, would have loved to see the truth behind tyson furys retirement 😂",13 hours ago,0,@user-qt6xb1zz7q,,B6qaZfeDIH8,1,,
UgyR3t2kSfyxLJBGiAJ4AaABAg,So is so true!!! Full time duck and junkie Ai forgot to say,13 hours ago,0,@Fact_check4256,,B6qaZfeDIH8,1,,
UgwyMAXDw-hdzmUmUZl4AaABAg,I Thought this was real omg ai bas improved alot man damm!,13 hours ago,0,@LovepreetSingh-dz9yg,,B6qaZfeDIH8,1,,
Ugyknnkvy6Jcnx7Ltn54AaABAg,Course he did. Cause Jon's knows dam well .Tom would most likely be knocking his ass out. So when your afraid to fight someone and there is no way out cause he can't keep faking a injury. So he cops out like cowards do and retires.which is good cause the sport doesn't need part time fighters.like him .,13 hours ago,0,@JR-eh5br,,B6qaZfeDIH8,1,,
UgzEd7T4Hfm1gNbPpVB4AaABAg,This shit should be banned!?!.. 😖,14 hours ago,0,@paulh8909,,B6qaZfeDIH8,1,,
UgyGsspgDLMUEVOMwJx4AaABAg,quack quack,14 hours ago,0,@rendzen3586,,B6qaZfeDIH8,1,,
Ugzmr8DTGgcouPvc6E94AaABAg,lol,14 hours ago,0,@nerdimmunity7672,,B6qaZfeDIH8,1,,
UgyyeFZYlk8cE9RySOZ4AaABAg,"This is not fake, it's fictional.
These thoughts exist in all our minds, including Jon Duck Jones'. 
The AI simply produced a video, but it's fictional, not fake.",14 hours ago,0,@mattiacontarino4319,,B6qaZfeDIH8,1,,
Ugwowt3iyKEa5Rd-CG14AaABAg,Greatest duck of all time,14 hours ago,0,@goodygoodygumdrops5336,,B6qaZfeDIH8,1,,
UgwsuIPySXfLapvYWh14AaABAg,Ai need banning ffs,14 hours ago,0,@leonardhpls6,,B6qaZfeDIH8,1,,
