epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,lr
1,0.5822066928639131,0.5110755656560262,0.7035294117647058,0.8053333333333333,0.7578911991792622,0.001
2,0.30817755617814907,0.38337232756614686,0.8823529411764706,0.8453333333333334,0.8332362141937066,0.001
3,0.20337150315677419,0.41790371386210123,0.9268235294117647,0.8213333333333334,0.808803050019405,0.001
4,0.1394812705937554,0.4757170236110687,0.9527058823529412,0.84,0.8252345740384017,0.001
5,0.11079459096754299,0.5200376247962316,0.9628235294117647,0.824,0.8096388136844697,0.001
6,0.0874930097600993,0.6482440469264984,0.9736470588235294,0.824,0.8077580314422419,0.001
7,0.07745845105016932,0.7365174921353658,0.9738823529411764,0.8026666666666666,0.7885166443116693,0.001
