id,text_clean,text_lemma,text_raw
0,jon jones is the goat  it is so unbelievably hard what he did  he became champ at 23 and stay champion until today  he fought the best lightweight champions in their primes  he is a double champ with multiple title defenses  lead in the history in title defenses  basically undefeated  congrat to jon jones,jon jones be the goat it be so unbelievably hard what he do he become champ at 23 and stay champion until today he fight the good lightweight champion in their prime he be a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.
1,you can sense the aggression from jon  dont touch me no friendly face off  he did not want tom to be there at all,you can sense the aggression from jon do not touch I no friendly face off he do not want tom to be there at all,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all."
2,i guess this answers the question    if you put jones and aspinall in a room who would come out first  the answer is tom  duck killa  aspinall,I guess this answer the question if you put jones and aspinall in a room who would come out first the answer be tom duck killa aspinall,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall."
3,jones won the round but lost the fight,jones win the round but lose the fight,Jones won the round but lost the fight
4,it doesn t matter anyway jon  you beat his ass😂😂his kids can look back now and say their dad got beat up by an  asshole  sucks for him  not you🤝,it doesn t matter anyway jon you beat his assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid can look back now and say their dad get beat up by an asshole suck for he not youemoji_handshake,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝"
