id,original,cleaned
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champions in their primes he is a double champ with multiple title defenses lead in the history in title defenses basically undefeated congrat to jon jones
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",i guess this answers the question if you put jones and aspinall in a room who would come out first the answer is tom duck killa aspinall
3,Jones won the round but lost the fight,jones won the round but lost the fight
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",it doesn t matter anyway jon you beat his ass😂😂his kids can look back now and say their dad got beat up by an asshole sucks for him not you🤝
